trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
16,0.6625906825065613,3,3,5,mlp,1.05,0.25,0.0004568540756768126,4.773618185168039e-05,512
18,0.6636974811553955,3,3,6,mlp,1.05,0.4,7.864130532762506e-05,6.635168628810325e-06,512
22,0.6816765069961548,2,3,6,mlp,1.05,0.35,8.344470561669163e-05,1.4527361414158454e-05,512
13,0.6943308711051941,2,3,17,mlp,1.05,0.2,8.490884120526892e-05,8.1487502050178e-06,512
25,0.6958308219909668,3,4,2,mlp,1.1500000000000001,0.4,0.00014289403911827044,4.875424525506086e-06,512
0,0.7000911235809326,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
29,0.7067391276359558,3,4,3,mlp,1.1500000000000001,0.45000000000000007,0.00012869719625289324,4.133707913697254e-05,512
21,0.7168495059013367,3,3,2,mlp,1.05,0.25,6.765175835367294e-05,8.928176034284546e-06,512
6,0.720438688993454,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
8,0.7314836382865906,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
